ID,Waktu_Masuk,Waktu_Keluar,Durasi,Total_Orang
8,2025-05-06 13:06:25,2025-05-06 13:06:35,9.5,0
9,2025-05-06 13:06:35,2025-05-06 13:07:07,31.3,0
10,2025-05-06 13:07:10,2025-05-06 13:07:32,22.5,0
11,2025-05-06 13:07:36,2025-05-06 13:07:52,16.3,0
12,2025-05-06 13:08:00,2025-05-06 13:08:06,5.9,0
0,2025-05-06 13:14:14,2025-05-06 13:14:18,0 menit 4 detik
1,2025-05-06 13:14:18,2025-05-06 13:14:39,0 menit 20 detik
2,2025-05-06 13:14:44,2025-05-06 13:14:57,0 menit 12 detik
0,2025-05-06 13:18:10,2025-05-06 13:18:15,0 menit 4 detik
1,2025-05-06 13:18:23,2025-05-06 13:18:25,0 menit 2 detik
2,2025-05-06 13:18:34,2025-05-06 13:18:40,0 menit 5 detik
3,2025-05-06 13:19:23,2025-05-06 13:19:25,0 menit 2 detik
4,2025-05-06 13:19:28,2025-05-06 13:19:30,0 menit 2 detik
5,2025-05-06 13:19:33,2025-05-06 13:19:59,0 menit 25 detik
6,2025-05-06 13:20:07,2025-05-06 13:20:13,0 menit 5 detik
0,2025-05-06 13:23:59,2025-05-06 13:24:02,0 menit 3 detik
1,2025-05-06 13:24:07,2025-05-06 13:24:11,0 menit 3 detik
2,2025-05-06 13:24:13,2025-05-06 13:24:16,0 menit 3 detik
3,2025-05-06 13:24:18,2025-05-06 13:24:24,0 menit 6 detik
4,2025-05-06 13:24:20,2025-05-06 13:24:22,0 menit 2 detik
5,2025-05-06 13:24:33,2025-05-06 13:24:36,0 menit 2 detik
0,2025-05-06 13:29:34,2025-05-06 13:30:06,0 menit 31 detik
1,2025-05-06 13:30:07,2025-05-06 13:30:11,0 menit 3 detik
2,2025-05-06 13:30:22,2025-05-06 13:30:29,0 menit 7 detik
3,2025-05-06 13:30:30,2025-05-06 13:30:41,0 menit 11 detik
4,2025-05-06 13:30:41,2025-05-06 13:30:44,0 menit 2 detik
5,2025-05-06 13:30:49,2025-05-06 13:30:52,0 menit 2 detik
6,2025-05-06 13:31:24,2025-05-06 13:31:33,0 menit 8 detik
7,2025-05-06 13:31:35,2025-05-07 14:46:55,1 menit 41 detik
0,2025-05-06 13:35:58,2025-05-06 13:36:08,0 menit 9 detik
1,2025-05-06 13:36:08,2025-05-06 13:38:42,0 menit 15 detik
0,2025-05-06 13:38:20,2025-05-06 13:38:22,0 menit 2 detik
1,2025-05-06 13:38:27,2025-05-06 13:38:42,0 menit 15 detik
0,2025-05-07 14:42:19,2025-05-07 14:42:33,0 menit 13 detik
1,2025-05-07 14:42:49,2025-05-07 14:42:57,0 menit 8 detik
2,2025-05-07 14:42:58,2025-05-07 14:44:16,1 menit 17 detik
3,2025-05-07 14:44:20,2025-05-07 14:44:22,0 menit 2 detik
4,2025-05-07 14:44:26,2025-05-07 14:44:31,0 menit 5 detik
5,2025-05-07 14:44:39,2025-05-07 14:44:44,0 menit 4 detik
6,2025-05-07 14:44:50,2025-05-07 14:45:16,0 menit 26 detik
7,2025-05-07 14:45:13,2025-05-07 14:46:55,1 menit 41 detik
8,2025-05-07 14:47:07,2025-05-07 14:47:18,0 menit 11 detik
9,2025-05-07 14:47:11,2025-05-07 14:47:18,0 menit 6 detik
0,2025-05-07 14:50:21,2025-05-07 14:50:28,0 menit 6 detik
1,2025-05-07 14:50:30,2025-05-07 14:50:54,0 menit 23 detik
2,2025-05-07 14:50:56,2025-05-07 14:51:01,0 menit 4 detik
3,2025-05-07 14:51:02,2025-05-07 14:51:11,0 menit 9 detik
4,2025-05-07 14:51:12,2025-05-07 14:51:29,0 menit 16 detik
5,2025-05-07 14:51:29,2025-05-07 14:52:04,0 menit 34 detik
6,2025-05-07 14:52:07,2025-05-07 14:52:18,0 menit 11 detik
7,2025-05-07 14:52:24,2025-05-07 14:53:14,0 menit 49 detik
8,2025-05-07 14:53:14,2025-05-07 14:55:03,1 menit 48 detik
9,2025-05-07 14:55:04,2025-05-07 14:56:05,1 menit 1 detik
10,2025-05-07 14:56:06,2025-05-07 14:56:15,0 menit 9 detik
11,2025-05-07 14:56:27,2025-05-07 14:56:29,0 menit 2 detik
12,2025-05-07 14:56:44,2025-05-07 14:56:47,0 menit 3 detik
13,2025-05-07 14:57:04,2025-05-07 14:57:07,0 menit 2 detik
14,2025-05-07 14:57:12,2025-05-07 14:57:15,0 menit 2 detik
15,2025-05-07 14:57:16,2025-05-07 14:57:21,0 menit 5 detik
0,2025-05-20 11:57:34,2025-05-20 11:57:46,0 menit 12 detik
1,2025-05-20 11:57:47,2025-05-20 11:57:54,0 menit 6 detik
